COUNTY,POPESTIMATE2019
0,4903185
1,55869
3,223234
5,24686
7,22394
9,57826
11,10101
13,19448
15,113605
17,33254
19,26196
21,44428
23,12589
25,23622
27,13235
29,14910
31,52342
33,55241
35,12067
37,10663
39,37049
41,13772
43,83768
45,49172
47,37196
49,71513
51,81209
53,36633
55,102268
57,16302
59,31362
61,26271
63,8111
65,14651
67,17205
69,105882
71,51626
73,658573
75,13805
77,92729
79,32924
81,164542
83,98915
85,9726
87,18068
89,372909
91,18863
93,29709
95,96774
97,413210
99,20733
101,226486
103,119679
105,8923
107,19930
109,33114
111,22722
113,57961
115,89512
117,217702
119,12427
121,79978
123,40367
125,209355
127,63521
129,16326
131,10373
133,23629
0,731545
13,3337
16,5634
20,288000
50,18386
60,836
68,2097
70,4916
90,96849
100,2530
105,2148
110,31974
122,58708
130,13901
150,12998
158,8314
164,1592
170,108317
180,10004
185,9832
188,7621
195,3266
198,6203
220,8493
230,1183
240,6893
261,9202
275,2502
282,579
290,5230
0,7278717
1,71887
3,125922
5,143476
7,54018
9,38837
11,9498
12,21108
13,4485414
15,212181
17,110924
19,1047279
21,462789
23,46498
25,235099
27,213787
0,3017804
1,17486
3,19657
5,41932
7,279141
9,37432
11,10763
13,5189
15,28380
17,10118
19,22320
21,14551
23,24919
25,7956
27,23457
29,20846
31,110332
33,63257
35,47955
37,16419
39,7009
41,11361
43,18219
45,126007
47,17715
49,12477
51,99386
53,18265
55,45325
57,21532
59,33771
61,13202
63,37825
65,13629
67,16719
69,66824
71,26578
73,6624
75,16406
77,8857
79,13024
81,12259
83,21466
85,73309
87,16576
89,16694
91,43257
93,40651
95,6701
97,8986
99,8252
101,7753
103,23382
105,10455
107,17782
109,10718
111,23528
113,19964
115,64072
117,8062
119,391911
121,17958
123,24994
125,122437
127,10281
129,7881
131,127827
133,17007
135,17442
137,12506
139,38682
141,16545
143,239187
145,78753
147,6320
149,21341
0,39512223
1,1671329
3,1129
5,39752
7,219186
9,45905
11,21547
13,1153526
15,27812
17,192843
19,999101
21,28393
23,135558
25,181215
27,18039
29,900202
31,152940
33,64386
35,30573
37,10039107
39,157327
41,258826
43,17203
45,86749
47,277680
49,8841
51,14444
53,434061
55,137744
57,99755
59,3175692
61,398329
63,18807
65,2470546
67,1552058
69,62808
71,2180085
73,3338330
75,881549
77,762148
79,283111
81,766573
83,446499
85,1927852
87,273213
89,180080
91,3005
93,43539
95,447643
97,494336
99,550660
101,96971
103,65084
105,12285
107,466195
109,54478
111,846006
113,220500
115,78668
0,5758736
1,517421
3,16233
5,656590
7,14029
9,3581
11,5577
13,326196
14,70465
15,20356
17,1831
19,9700
21,8205
23,3887
25,6061
27,5068
29,31162
31,727211
33,2055
35,351154
37,55127
39,26729
41,720403
43,47839
45,60061
47,6243
49,15734
51,17462
53,820
55,6897
57,1392
59,582881
61,1406
63,7097
65,8127
67,56221
69,356899
71,14506
73,5701
75,22409
77,154210
79,769
81,13283
83,26183
85,42758
87,29068
89,18278
91,4952
93,18845
95,4265
97,17767
99,12172
101,168424
103,6324
105,11267
107,25638
109,6824
111,728
113,8179
115,2248
117,31011
119,25388
121,4908
123,324492
125,10019
0,3565287
1,943332
3,891720
5,180333
7,162436
9,854757
11,265206
13,150721
15,116782
0,973764
1,180786
3,558753
5,234225
0,705749
1,705749
0,21477737
1,269043
3,29210
5,174705
7,28201
9,601942
11,1952778
13,14105
15,188910
17,149657
19,219252
21,384902
23,71686
27,38001
29,16826
31,957755
33,318316
35,115081
37,12125
39,45660
41,18582
43,13811
45,13639
47,14428
49,26937
51,42022
53,193920
55,106221
57,1471968
59,19617
61,159923
63,46414
65,14246
67,8422
69,367118
71,770577
73,293582
75,41503
77,8354
79,18493
81,403253
83,365579
85,161000
86,2716940
87,74228
89,88625
91,210738
93,42168
95,1393452
97,375751
99,1496770
101,553947
103,974996
105,724777
107,74521
109,264672
111,328297
113,184313
115,433742
117,471826
119,132420
121,44417
123,21569
125,15237
127,553284
129,33739
131,74071
133,25473
0,10617423
1,18386
3,8165
5,11164
7,3038
9,44890
11,19234
13,83240
15,107738
17,16700
19,19397
21,153159
23,12873
25,19109
27,15457
29,39627
31,79608
33,22383
35,24936
37,6189
39,54666
43,10803
45,119992
47,67580
49,13392
51,289430
53,10907
55,24789
57,258773
59,128331
61,2834
63,292256
65,6618
67,760141
69,43273
71,45600
73,156714
75,17270
77,148509
79,12404
81,22372
83,16116
85,26108
87,26404
89,759297
91,20605
93,13390
95,87956
97,146343
99,10190
101,4006
103,64296
105,19194
107,22646
109,10654
111,26188
113,114421
115,98498
117,244252
119,23349
121,1063937
123,31369
125,2971
127,85292
129,57963
131,24633
133,18324
135,936250
137,45328
139,204441
141,8457
143,29792
145,35236
147,26205
149,11923
151,234561
153,157863
155,9416
157,72977
159,14219
161,15115
163,15362
165,8676
167,9643
169,28735
171,19077
173,10423
175,47546
177,29992
179,61435
181,7921
183,19559
185,117406
187,33610
189,21312
191,14378
193,12947
195,29880
197,8359
199,21167
201,5718
205,21863
207,27578
209,9172
211,19276
213,40096
215,195769
217,111744
219,40280
221,15259
223,168667
225,27546
227,32591
229,19465
231,18962
233,42613
235,11137
237,22119
239,2299
241,17137
243,6778
245,202518
247,90896
249,5257
251,13966
253,8090
255,66703
257,25925
259,6621
261,29524
263,6195
265,1537
267,25286
269,8020
271,15860
273,8531
275,44451
277,40644
279,26830
281,12037
283,6901
285,69922
287,7985
289,8120
291,24511
293,26320
295,69761
297,94593
299,35734
301,5254
303,20374
305,29927
307,2607
309,7855
311,30798
313,104628
315,8635
317,9777
319,8954
321,20247
0,1415872
1,201513
3,974563
5,86
7,72293
9,167417
0,1787065
1,481587
3,4294
5,87808
7,6125
9,9298
11,46811
13,23021
15,7831
17,45739
19,119062
21,12245
23,2597
25,1106
27,229849
29,7155
31,24030
33,845
35,8756
37,4315
39,27511
41,13876
43,13099
45,18112
47,15179
49,16667
51,29871
53,24412
55,165697
57,40108
59,8027
61,3838
63,5366
65,39907
67,21039
69,40408
71,4531
73,11823
75,23951
77,7681
79,12882
81,12142
83,86878
85,11392
87,10194
0,12671821
1,65435
3,5761
5,16426
7,53544
9,6578
11,32628
13,4739
15,14305
17,12147
19,209689
21,32304
23,15441
25,13184
27,37562
29,50621
31,5150233
33,18667
35,10766
37,104897
39,15638
41,19465
43,922921
45,17161
47,6395
49,34008
51,21336
53,12961
55,38469
57,34340
59,4828
61,12969
63,51054
65,8116
67,17708
69,3821
71,6646
73,48913
75,27114
77,56750
79,9610
81,37684
83,21773
85,21235
87,12417
89,532403
91,109862
93,128990
95,49699
97,696535
99,108669
101,15678
103,34096
105,35648
107,28618
109,29682
111,307774
113,171517
115,104009
117,44926
119,262966
121,37205
123,11438
125,13359
127,13772
129,12196
131,15437
133,34637
135,28414
137,33658
139,14501
141,50643
143,179179
145,20916
147,16344
149,15561
151,4177
153,5335
155,5739
157,31782
159,15513
161,141879
163,259686
165,23491
167,194672
169,6768
171,4951
173,21634
175,5342
177,44498
179,131803
181,16653
183,75758
185,11520
187,16844
189,13887
191,16215
193,13537
195,55175
197,690743
199,66597
201,282572
203,38459
0,6732219
1,35777
3,379299
5,83779
7,8748
9,11758
11,67843
13,15092
15,20257
17,37689
19,118302
21,26225
23,32399
25,10577
27,33351
29,49458
31,26559
33,43475
35,114135
37,42736
39,206341
41,23102
43,78522
45,16346
47,22758
49,19974
51,33659
53,65769
55,31922
57,338011
59,78168
61,40515
63,170311
65,47972
67,82544
69,36520
71,44231
73,33562
75,20436
77,32308
79,27735
81,158167
83,36594
85,79456
87,39614
89,485493
91,109888
93,45370
95,129569
97,964582
99,46258
101,10255
103,35516
105,148431
107,38338
109,70489
111,13984
113,47744
115,5875
117,19646
119,20799
121,16937
123,19169
125,12389
127,170389
129,25427
131,12353
133,37576
135,24665
137,28324
139,16581
141,271826
143,23873
145,44729
147,20277
149,22995
151,34594
153,20669
155,10751
157,195732
159,15148
161,7054
163,181451
165,15498
167,107038
169,30996
171,8265
173,62998
175,28036
177,65884
179,28296
181,24102
183,33964
0,3155070
1,7152
3,3602
5,13687
7,12426
9,5496
11,25645
13,131228
15,26234
17,25062
19,21175
21,19620
23,14439
25,9668
27,20165
29,12836
31,18627
33,42450
35,11235
37,11933
39,9395
41,16016
43,17549
45,46429
47,16820
49,93453
51,9000
53,7870
55,17011
57,38967
59,17258
61,97311
63,9208
65,19650
67,15642
69,10070
71,6960
73,8888
75,12232
77,10689
79,14773
81,10630
83,16846
85,14049
87,19954
89,9158
91,9558
93,6860
95,16184
97,19439
99,37185
101,18295
103,151140
105,20681
107,10246
109,14813
111,33657
113,226706
115,11035
117,8600
119,11755
121,16338
123,22095
125,33253
127,39369
129,15109
131,10586
133,8615
135,7707
137,9917
139,42664
141,13753
143,5958
145,15107
147,8886
149,25177
151,6619
153,490161
155,93206
157,18504
159,4894
161,9721
163,172943
165,11454
167,34855
169,97117
171,16854
173,6121
175,12241
177,7044
179,34969
181,51466
183,21965
185,6441
187,35904
189,10354
191,19991
193,103107
195,7381
197,12562
0,2913314
1,12369
3,7858
5,16073
7,4427
9,25779
11,14534
13,9564
15,66911
17,2648
19,3250
21,19939
23,2657
25,1994
27,8002
29,8786
31,8179
33,1700
35,34908
37,38818
39,2827
41,18466
43,7600
45,122259
47,2798
49,2530
51,28553
53,6102
55,36467
57,33619
